,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,predictions_ARIMA_Server_1_Tactic_1.csv,262212.3381286856,1770540.0948178766,17036.84239070106,1102,32438.83559152876,74,2531,1058,30,44,1473
1,predictions_SVR_RBF_Server_1_Tactic_1.csv,1663658.068666112,2050658.9750148312,243227.89450533292,815,925965.7302125371,714,1890,798,697,17,1092
2,predictions_MLP_Server_1_Tactic_1.csv,206806.90542249492,1818332.1740315743,6367.156536050618,1088,44809.47087616407,65,2539,1065,42,23,1474
3,predictions_LSTM_Server_1_Tactic_1.csv,406117.86333203386,1853856.9954329503,10799.096255105782,1053,119634.47626165631,119,2485,1045,111,8,1440
