,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,noping_normalized_server_2_tactic_1_validation.csv,0.0,0.0,0.0,0,0.0,0,2603,0,0,0,2603
1,noping_normalized_server_1_tactic_1_validation.csv,12881540.065352663,149926991.7298465,217773.71729178986,1096,553526.3430130299,60,2544,1071,35,25,1473
2,ping_normalized_server_3_tactic_1_validation.csv,1.79e+52,1.18e+52,6.100000000000001e+51,1091,6.100000000000001e+51,302,2302,952,163,139,1350
3,noping_normalized_server_3_tactic_1_validation.csv,1.79e+52,1.18e+52,6.100000000000001e+51,1121,6.100000000000001e+51,286,2318,962,127,159,1356
4,ping_normalized_server_1_tactic_1_validation.csv,13840047.925887883,149758294.93089628,251169.63645953074,1098,595901.0569312526,64,2540,1070,36,28,1470
5,ping_normalized_server_2_tactic_1_validation.csv,15027459.262658175,147531729.84502319,77601.67981252004,1335,591265.8776897725,100,2503,1290,55,45,1213
