,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,predictions_SVR_RBF.csv,136771807711.98953,143663381271.18918,41677941.31545729,23760,45099546.31545725,14719,37377,23743,14702,17,13634
1,predictions_MLP.csv,35706385424.61196,143728175519.60727,16545.292731098416,33306,565061.3723891226,2644,49452,33039,2377,267,16413
2,predictions_LSTM.csv,50172384665.97525,143708548812.59213,37464.32496246171,36428,449358.291309327,5511,46585,32786,1869,3642,13799
3,predictions_ARIMA.csv,137224455942.28375,143654330502.75848,43262548.12962883,23729,46808547.67759226,16363,35733,22650,15284,1079,13083
